order_id,date,region,sales_rep,product_category,product_name,units_sold,unit_price,revenue,discount_pct,customer_type,customer_satisfaction
1045,2024-05-14,North,Eve Martinez,Software,Analytics Suite,4,999.99,3999.96,20,Enterprise,4.9
1046,2024-05-17,South,Frank Chen,Electronics,Laptop Pro 15,7,1299.99,9099.93,5,Enterprise,4.7
1047,2024-05-20,East,Carol White,Office Supplies,Standing Desk,9,599.99,5399.91,0,SMB,4.6
1048,2024-05-23,West,David Lee,Software,Project Manager Pro,12,499.99,5999.88,10,Enterprise,4.8
1049,2024-05-26,North,Alice Johnson,Electronics,Wireless Mouse,80,29.99,2399.20,15,Consumer,4.0
1050,2024-05-29,South,Bob Smith,Office Supplies,Whiteboard XL,35,89.99,3149.65,0,Consumer,3.7
1051,2024-06-01,East,Eve Martinez,Electronics,Laptop Pro 15,6,1299.99,7799.94,5,Enterprise,4.8
1052,2024-06-04,West,Frank Chen,Software,Analytics Suite,5,999.99,4999.95,0,Enterprise,5.0
1053,2024-06-07,North,Alice Johnson,Office Supplies,Ergonomic Chair,16,249.99,3999.84,5,SMB,4.7
1054,2024-06-10,South,Bob Smith,Electronics,4K Monitor,10,449.99,4499.90,0,Enterprise,4.5
1055,2024-06-13,East,Carol White,Software,Project Manager Pro,8,499.99,3999.92,15,Enterprise,4.6
1056,2024-06-16,West,David Lee,Office Supplies,Whiteboard XL,28,89.99,2519.72,5,Consumer,4.1
1057,2024-06-19,North,Eve Martinez,Electronics,Wireless Keyboard,50,79.99,3999.50,0,Consumer,4.4
1058,2024-06-22,South,Frank Chen,Electronics,Laptop Pro 15,5,1299.99,6499.95,5,Consumer,4.3
1059,2024-06-25,East,Carol White,Software,Analytics Suite,7,999.99,6999.93,10,Enterprise,4.9
1060,2024-06-28,West,David Lee,Office Supplies,Standing Desk,11,599.99,6599.89,0,Enterprise,4.8
